entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-2e7951ee6d3a21a8#3,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-35c89a5dca8b485b#24,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-b4e91c20670a96a1#16,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-aa58d00a9ec04519#2,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-6b211e9b1a3d5ce9#6,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-66f295c680f9d3c3#5,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-ea184f1e310ad628#9,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-aebe045f450d25ef#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-b44a1f914e21382b#1,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-b2d7d9636735945a#1,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-5efeaac2e9284c31#10,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-03a92144e1fbc52f#5,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-e94a91de475d6a37#0,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-30910e59d0b1070f#5,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-d463d82b00c412bc#1,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-ea41314eb88aba76#110,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-bdc277b3325aabc6#5,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-7517726aa4dab65a#0,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-bf83161cc1111ef9#14,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-d892e0c42ec3d406#9,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-8319d84ecff09b47#1,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-bd9e238beb30c981#5,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-15cf0802a6e1117b#1,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-98470ccbd9e57b07#21,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-97cb2f5bd79b5afa#0,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-820c4815d87a0a15#7,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-3853442972645ad2#15,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-895e27de4ede2bdb#0,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-318723a39c89250b#1,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-5875924c7180fe4a#8,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-eb67ef924c0a43f4#21,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-382b16a4cd9e4012#1,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-3d76880291532611#30,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-711565de65a87045#2,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-e701dbf94ebe46aa#4,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-fa69e748dec264b0#2,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-8758f6e057d1b73f#6,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-aaf829937b5abba9#0,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-c611cf980f72f01e#0,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-a0131f4d8cbabc23#2,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-092c3c8f4a3d150c#8,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-5659bba82849ad16#0,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-939611e13dfe89ec#3,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-c2f41e9518c855df#1,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-57d08ca3de02cc1e#3,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-6c597f1176a4f189#0,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-eb0cde416cfd5a19#1,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-87d5fff5e99e0e76#0,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-00cd6f43135121ff#6,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-009f6856d9ba227a#1,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-cc51fab6c13e6a50#2,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-4d9ed7006107229d#0,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-21ecf2d4a9422a78#0,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-4ffb6cc639caaaeb#18,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-9fd1159a8d2cc1fd#9,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-0690f96c383d84e2#77,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-0737db17f286317d#29,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-482e5e693286ec35#26,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-8c5f704e0a4b1152#0,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-7ec179488ff29fe7#4,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-b9f96d2d01305086#14,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-1259b0d308c3f846#3,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-1c84fa17252f773f#8,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-e7fe8c9c811a1fcb#14,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-b9cac97a54d5e345#3,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-114c34537ebcfa32#18,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-5382e7aa3d95082e#3,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-4484fc8579e196da#5,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-13232cb78c09b25a#3,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-abf9a38a97c5459a#5,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-087ca9beac01b324#18,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-0e6ce2d236ba9f54#3,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-aae8dab5d398a6f5#17,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-e9baa31fabe838c5#0,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-b14f0fc86a66c3be#2,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
